,source,target,TS label,TS chiral?,
402,0103000120,0030100210,0030100210,yes,,,,,,,
403,0103000120,0012100030,2100030010,yes,,,,,,,
404,0103000120,0000102103,0102100003,yes,,,,,,,
405,0001320010,0000102310,0001320010,yes,,,,,,,
406,0001320010,0001002310,1002310000,yes,,,,,,,
407,0001320010,0001000231,0001000231,yes,,,,,,,
408,0001310020,0000201310,0001310020,yes,,,,,,,
409,0001310020,0002001310,1310020000,yes,,,,,,,
410,0001310020,0002000131,0002000131,yes,,,,,,,
411,0000001231,0000001321,0000001231,no,,,,,,,
412,0000001231,0001003210,0001230001,yes,,,,,,,
413,0000001231,0003211000,0003211000,yes,,,,,,,
414,0000001132,0000002311,0000001132,no,,,,,,,
415,0000001132,0002003110,0001130002,yes,,,,,,,
416,0000001132,0003112000,0003112000,yes,,,,,,,
417,0000012130,0000311002,0000012130,yes,,,,,,,
418,0000012130,0003121000,0012130000,yes,,,,,,,
419,0000012130,0003120100,0003120100,yes,,,,,,,
420,1003001020,0010200031,0030010201,yes,,,,,,,
421,1003001020,0002010031,2010030001,yes,,,,,,,
422,1003001020,0000012013,0012010003,yes,,,,,,,
423,0010020301,1001032000,0010020301,yes,,,,,,,
424,0010020301,0302001100,0020300011,yes,,,,,,,
425,0010020301,0301201000,0300010021,yes,,,,,,,
426,0100203001,0101000203,0100203001,yes,,,,,,,
427,0100203001,0030201010,0030201010,yes,,,,,,,
428,0100203001,0031020100,0100031020,yes,,,,,,,
429,0000121003,0003002101,0000121003,yes,,,,,,,
430,0000121003,0012103000,0012103000,yes,,,,,,,
431,0000121003,0000013210,0000013210,yes,,,,,,,
432,0210301000,0000301201,0210301000,yes,,,,,,,
433,0210301000,0010300120,0010300120,yes,,,,,,,
434,0210301000,0010031200,1000210300,yes,,,,,,,
435,1003102000,0000130012,0130010002,yes,,,,,,,
436,1003102000,0000020131,0020130001,yes,,,,,,,
437,1003102000,0010010023,0010020013,yes,,,,,,,
438,0002100301,0001030120,0002100301,yes,,,,,,,
439,0002100301,0121000300,0300121000,yes,,,,,,,
440,0002100301,0000301012,0000301012,yes,,,,,,,
441,0010200103,0201003010,0010200103,yes,,,,,,,
442,0010200103,0100203100,0100203100,yes,,,,,,,
443,0010200103,0103021000,0100010203,yes,,,,,,,
444,0020110300,0031102000,0020110300,yes,,,,,,,
445,0020110300,0200301100,0110300020,yes,,,,,,,
446,0020110300,0112000300,0300020110,yes,,,,,,,
